observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
4555	4555	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5552	5555	555X	5555	555X_I	5555_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5955	5555	5XXX	5555	5XXX_E	5555_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3255	3555	3XXX	3XXX	3XXX_I	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
4555	4555	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
9555	9555	9XXX	9XXX	9XXX_E	9XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
9555	9555	9XXX	9XXX	9XXX_E	9XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4555	4555	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3555	3555	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4222	4222	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2242	2222	22XX	2222	22XX_I	2222_I	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4281	4228	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0222	2222	0XXX	2222	0XXX_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2229	2222	222X	2222_I	222X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2229	2229	222X	222X	222X_E	222X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4222	4222	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0222	2222	0XXX	2222	0XXX_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2228	2222	222X	2222	222X_E	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0222	2222	0XXX	2222	0XXX_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2221	2222	222X	2222	222X_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2221	2222	222X	2222	222X_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3222	3222	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0222	2222	0XXX	2222	0XXX_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2221	2222	222X	2222	222X_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4818	4888	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
2888	2888	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2882	2888	2XXX	2XXX	2XXX_I	2XXX_I	Not changed	Changed	Reverted (1 LU in between)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
