observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2255	2XXX	22XX	2XXX_E	22XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2655	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6655	66XX	66XX	66XX_E	66XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
6655	6665	66XX	666X	66XX_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6665	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
